Command Class;Command;Identifier;value;sending node is;receiving node is;Additional comments
;Window Covering Report;WINDOW_COVERING_REPORT;0x04;supporting;controlling;-
;Window Covering Set;WINDOW_COVERING_SET;0x05;controlling;supporting;-
;Window Covering Start Level Change;WINDOW_COVERING_START_LEVEL_CHANGE;0x06;controlling;supporting;-
;Window Covering Stop Level Change;WINDOW_COVERING_STOP_LEVEL_CHANGE;0x07;controlling;supporting;-
Z/IP Command Class;Z/IP Packet;COMMAND_ZIP_PACKET;0x02;controlling;supporting;-
;Z/IP Keep Alive;COMMAND_ZIP_KEEP_ALIVE;0x03;controlling;supporting;-
Z/IP Gateway Command Class;Gateway Mode Set;GATEWAY_MODE_SET;0x01;controlling;supporting;-
;Gateway Mode Get;GATEWAY_MODE_GET;0x02;controlling;supporting;-
;Gateway Mode Report;GATEWAY_MODE_REPORT;0x03;supporting;controlling;-
;Gateway Peer Set;GATEWAY_PEER_SET;0x04;controlling;supporting;-
;Gateway Peer Get;GATEWAY_PEER_GET;0x05;controlling;supporting;-
;Gateway Peer Report;GATEWAY_PEER_REPORT;0x06;supporting;controlling;-
;Gateway Lock Set;GATEWAY_LOCK_SET;0x07;controlling;supporting;-
;Unsolicited Destination Set;UNSOLICITED_DESTINATION_SET;0x08;controlling;supporting;-
;Unsolicited Destination Get;UNSOLICITED_DESTINATION_GET;0x09;controlling;supporting;-
;Unsolicited Destination Report;UNSOLICITED_DESTINATION_REPORT;0x0A;supporting;controlling;-
;Application Node Info Set;COMMAND_APPLICATION_NODE_INFO_SET;0x0B;controlling;supporting;-
;Application Node Info Get;COMMAND_APPLICATION_NODE_INFO_GET;0x0C;controlling;supporting;-
;Application Node Info Report;COMMAND_APPLICATION_NODE_INFO_REPORT;0x0D;supporting;controlling;-
Z/IP Naming and Location Command Class;Z/IP Name Set;ZIP_NAMING_NAME_SET;0x01;controlling;supporting;-
;Z/IP Name Get;ZIP_NAMING_NAME_GET;0x02;controlling;supporting;-
;Z/IP Name Report;ZIP_NAMING_NAME_REPORT;0x03;supporting;controlling;-
;Z/IP Location Set;ZIP_NAMING_LOCATION_SET;0x04;controlling;supporting;-
;Z/IP Location Get;ZIP_NAMING_LOCATION_GET;0x05;controlling;supporting;-
;Z/IP Location Report;ZIP_NAMING_LOCATION_REPORT;0x06;supporting;controlling;-
Z/IP ND Command Class;Z/IP Node Advertisement;ZIP_NODE_ADVERTISEMENT;0x01;supporting;controlling;-
;Z/IP Node Solicitation;ZIP_NODE_SOLICITATION;0x03;controlling;supporting;-
;Z/IP Inverse Node Solicitation;ZIP_INV_NODE_SOLICITATION;0x04;controlling;supporting;-
Z/IP Portal Command Class;Gateway Configuration Set;GATEWAY_CONFIGURATION_SET;0x01;controlling;supporting;-
;Gateway Configuration Status;GATEWAY_CONFIGURATION_STATUS;0x02;supporting;controlling;-
;Gateway Configuration Get;GATEWAY_CONFIGURATION_GET;0x03;controlling;supporting;-
;Gateway Configuration Report;GATEWAY_CONFIGURATION_REPORT;0x04;supporting;controlling;-
Z-Wave Plus Info Command Class;Z-Wave Plus Info Get;ZWAVEPLUS_INFO_GET;0x01;controlling;supporting;-
;Z-Wave Plus Info Report;ZWAVEPLUS_INFO_REPORT;0x02;supporting;controlling;-
